0.000000000000000000e+00,8.464182493422504061e-01,9.927951693534851074e-01
1.000000000000000000e+00,8.785214480916820889e-01,9.995761513710021973e-01
2.000000000000000000e+00,6.469805923151893401e-01,9.967459440231323242e-01
3.000000000000000000e+00,8.002344773467330308e-01,9.903476238250732422e-01
4.000000000000000000e+00,6.587296769273525143e-01,9.946150183677673340e-01
5.000000000000000000e+00,5.210811276385394208e-01,9.978635907173156738e-01
6.000000000000000000e+00,6.005711017296783139e-01,9.862046241760253906e-01
7.000000000000000000e+00,8.157014578271324368e-01,9.983769655227661133e-01
8.000000000000000000e+00,9.349324652134014535e-01,9.996898174285888672e-01
9.000000000000000000e+00,9.261176628543055234e-01,9.996678829193115234e-01
1.000000000000000000e+01,2.832516862153841922e-02,9.985046386718750000e-01
1.100000000000000000e+01,8.420625561660084468e-01,9.993435740470886230e-01
1.200000000000000000e+01,7.578831374110082120e-01,9.979888200759887695e-01
1.300000000000000000e+01,8.429280555952807230e-01,9.993026256561279297e-01
1.400000000000000000e+01,5.942356016005085895e-01,9.985951781272888184e-01
1.500000000000000000e+01,7.733953194161461431e-01,9.995005130767822266e-01
1.600000000000000000e+01,7.654864115186211793e-01,9.996478557586669922e-01
1.700000000000000000e+01,8.737242393195394641e-01,9.993821382522583008e-01
1.800000000000000000e+01,8.847458790334212786e-01,9.995651841163635254e-01
1.900000000000000000e+01,8.002797488579996843e-01,9.996345043182373047e-01
2.000000000000000000e+01,8.738733825453652848e-01,9.984899759292602539e-01
2.100000000000000000e+01,7.670773689414944752e-01,9.982453584671020508e-01
2.200000000000000000e+01,1.656019152087991747e-02,9.957518577575683594e-01
2.300000000000000000e+01,5.454404740895459902e-01,9.976677298545837402e-01
2.400000000000000000e+01,7.493668247373431734e-01,9.998044371604919434e-01
2.500000000000000000e+01,8.001037586504281540e-01,9.994022846221923828e-01
2.600000000000000000e+01,8.053663035750425747e-01,9.996856451034545898e-01
2.700000000000000000e+01,8.291296554110035855e-01,9.997503161430358887e-01
2.800000000000000000e+01,7.203968555851829603e-01,9.647889137268066406e-01
2.900000000000000000e+01,7.125030811832402389e-01,9.972153902053833008e-01
3.000000000000000000e+01,7.657830633530746667e-01,9.990414977073669434e-01
